"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27878",6,39,44,2,39044,3904401002,0.749967606494923
"27879",6,39,44,3,39044,3904401003,-0.984375184383108
"27880",6,39,45,1,39045,3904501001,0.117154626379524
"27881",6,39,46,1,39046,3904601001,2.05487058699295
"27882",6,39,46,2,39046,3904601002,2.4447387440392
"27883",6,39,47,1,39047,3904701001,-0.00489931233855714
"27884",6,39,47,2,39047,3904701002,1.93625369123924
"27885",6,39,48,1,39048,3904801001,0.324961902463512
"27886",6,39,48,2,39048,3904801002,-1.20231113351547
"27887",6,39,49,1,39049,3904901001,-2.27446051128802
"27888",6,39,50,1,39050,3905001001,-0.986751554296728
"27889",6,39,51,1,39051,3905101001,-1.94404843394183
"27890",6,39,52,1,39052,3905201001,0.502519962121884
"27891",6,39,52,2,39052,3905201002,0.532713616852207
"27892",6,39,52,3,39052,3905201003,0.216037091261689
"27893",6,39,52,4,39052,3905201004,-0.766191286736696
"27894",6,39,52,5,39052,3905201005,-0.391454029888764
"27895",6,39,52,1,39052,3905202001,-1.4261633230002
"27896",6,39,52,2,39052,3905202002,-1.39564762623221
"27897",6,39,52,3,39052,3905202003,-1.83698545597897
"27898",6,39,52,4,39052,3905202004,-0.480198559425727
"27899",6,39,52,5,39052,3905202005,-1.33057452222811
"27900",6,39,52,6,39052,3905202006,-2.54216649942848
"27901",6,39,52,7,39052,3905202007,-1.52927776108297
"27902",6,39,53,1,39053,3905301001,-1.61275784482399
"27903",6,39,54,1,39054,3905401001,-0.0388050552755077
"27904",6,39,54,2,39054,3905401002,0.448328433549527
"27905",6,39,54,3,39054,3905401003,0.499775541668987
"27906",6,39,55,1,39055,3905501001,0.504465139772979
"27907",6,39,56,1,39056,3905601001,0.515732924661875
"27908",6,39,56,2,39056,3905601002,1.03908596351225
"27909",6,39,57,1,39057,3905701001,0.113773803551863
"27910",6,39,57,2,39057,3905701002,-0.24228010872267
"27911",6,39,58,1,39058,3905801001,0.366654651587226
"27912",6,39,59,1,39059,3905901001,0.253984930829058
"27913",6,39,59,2,39059,3905901002,-0.461727624575644
"27914",6,39,59,3,39059,3905901003,1.98721812416632
"27915",6,39,59,4,39059,3905901004,-1.52948498093972
"27916",6,39,59,5,39059,3905901005,-0.0193690181070902
"27917",6,39,59,1,39059,3905902001,-0.585763829938378
"27918",6,39,59,2,39059,3905902002,1.87167515242853
"27919",6,39,59,3,39059,3905902003,2.38908892792188
"27920",6,39,59,4,39059,3905902004,-1.06351744203334
"27921",6,39,59,5,39059,3905902005,-0.0711516017084036
"27922",6,39,60,1,39060,3906001001,-0.388244663223123
"27923",6,39,60,2,39060,3906001002,1.76802436828553
"27924",6,39,60,1,39060,3906002001,1.30910974097776
"27925",6,39,60,2,39060,3906002002,0.410404878288365
"27926",6,39,60,3,39060,3906002003,0.710468697234644
"27927",6,39,61,1,39061,3906101001,-0.210567081468039
"27928",6,39,61,2,39061,3906101002,-1.13747702970523
"27929",6,39,61,3,39061,3906101003,-0.690323561406151
"27930",6,39,62,1,39062,3906201001,-0.394626598463876
"27931",6,39,62,2,39062,3906201002,-0.556211831776165
"27932",6,39,63,1,39063,3906301001,1.75575248297131
"27933",6,39,64,1,39064,3906401001,-0.811982279528816
"27934",6,39,65,1,39065,3906501001,-0.805131227446493
"27935",6,39,66,1,39066,3906601001,-0.12121970140309
"27936",6,39,67,1,39067,3906701001,-0.0423081776350057
"27937",6,39,68,1,39068,3906801001,0.506392130260869
"27938",6,39,69,1,39069,3906901001,0.535745504862326
"27939",6,39,69,2,39069,3906901002,0.384867119337304
"27940",6,39,70,1,39070,3907001001,1.99880415257408
"27941",6,39,71,1,39071,3907101001,-1.09235015813742
"27942",6,39,72,1,39072,3907201001,1.1886031521537
"27943",6,39,73,1,39073,3907301001,-1.76187499082972
"27944",6,39,73,2,39073,3907301002,-1.21408943511748
"27945",6,39,73,3,39073,3907301003,-2.68571385300929
"27946",6,39,73,4,39073,3907301004,-1.70250439094455
"27947",6,39,73,5,39073,3907301005,-0.238978909141921
"27948",6,39,73,6,39073,3907301006,1.23014610600551
"27949",6,39,73,7,39073,3907301007,-0.829971209819827
"27950",6,39,74,1,39074,3907401001,-1.06734517929274
"27951",6,39,74,2,39074,3907401002,-0.908539958771997
"27952",6,39,74,3,39074,3907401003,-0.191238575555495
"27953",6,39,74,4,39074,3907401004,0.672868528008147
"27954",6,39,74,5,39074,3907401005,-0.0180327476983623
"27955",6,39,74,6,39074,3907401006,-1.91703412528652
"27956",6,39,75,1,39075,3907501001,2.31318501529665
"27957",6,39,75,2,39075,3907501002,1.25923975758318
"27958",6,39,75,3,39075,3907501003,0.590773515216345
"27959",6,39,75,4,39075,3907501004,-0.584593073850384
"27960",6,39,75,5,39075,3907501005,2.46871093730708
"27961",6,39,75,6,39075,3907501006,-1.05682259666971
"27962",6,39,75,7,39075,3907501007,-1.97352220430378
"27963",6,39,75,8,39075,3907501008,4.29066349573627
"27964",6,39,75,9,39075,3907501009,-1.60405695657389
"27965",6,39,75,10,39075,3907501010,0.149965073073826
"27966",6,39,75,11,39075,3907501011,2.25676123039201
"27967",6,39,75,1,39075,3907502001,-2.79624370305338
"27968",6,39,75,2,39075,3907502002,3.23998705621676
"27969",6,39,75,3,39075,3907502003,0.587719415192813
"27970",6,39,75,4,39075,3907502004,-0.501043693067126
"27971",6,39,75,5,39075,3907502005,-0.526674163495197
"27972",6,39,75,6,39075,3907502006,-3.20293135248604
"27973",6,39,75,7,39075,3907502007,0.839251497222611
"27974",6,39,75,8,39075,3907502008,1.34447822378732
"27975",6,39,75,9,39075,3907502009,2.09606165574543
"27976",6,39,75,10,39075,3907502010,2.68385997696499
"27977",6,39,75,11,39075,3907502011,-2.96976124055258
"27978",6,39,75,12,39075,3907502012,-0.983042343246761
"27979",6,39,75,13,39075,3907502013,0.174921697800334
"27980",6,39,75,14,39075,3907502014,-1.38733074391176
"27981",6,39,75,15,39075,3907502015,-2.4677513000516
"27982",6,39,75,16,39075,3907502016,-3.18817535927957
"27983",6,39,75,17,39075,3907502017,0.768680113559767
"27984",6,39,75,18,39075,3907502018,-0.564548893400824
"27985",6,39,75,19,39075,3907502019,-0.0058906691304168
"27986",6,39,75,20,39075,3907502020,-2.83978714182137
"27987",6,39,75,21,39075,3907502021,0.429567614703408
"27988",6,39,75,22,39075,3907502022,1.98710227110149
"27989",6,39,75,23,39075,3907502023,1.58579191823291
"27990",6,39,75,24,39075,3907502024,0.898639185149142
"27991",6,39,75,25,39075,3907502025,0.494233562627896
"27992",6,39,75,26,39075,3907502026,-3.18713332186632
"27993",6,39,75,27,39075,3907502027,0.824225612329952
"27994",6,39,75,1,39075,3907503001,-1.37634820554664
"27995",6,39,75,2,39075,3907503002,0.679740397194728
"27996",6,39,75,3,39075,3907503003,0.657491846573785
"27997",6,39,75,4,39075,3907503004,0.986081041417334
"27998",6,39,75,5,39075,3907503005,-0.025587718098912
"27999",6,39,75,6,39075,3907503006,-0.307818816396778
"28000",6,39,75,7,39075,3907503007,-0.267302754238161
"28001",6,39,75,8,39075,3907503008,-0.93105649628465
"28002",6,39,75,9,39075,3907503009,-1.90176473311406
"28003",6,39,75,10,39075,3907503010,-1.62158968198591
"28004",6,39,75,11,39075,3907503011,-1.18055888780126
"28005",6,39,75,12,39075,3907503012,0.136714997823864
