COD_SECC_2011;viv<30m % ;Promedio de Super/habi;Aseo 2011 % ;Anteriores 1951 % ;ALQUIL_CES;SIN_CALEFA
3905202006;0,0000000;0,0155726;0,0000000;1,6224231;5,6007229;0,0000000
3905202007;0,0000000;0,0182008;0,0000000;4,2914847;0,0000000;1,9112346
3905301001;0,0000000;0,0168777;0,0000000;96,8613180;12,4162376;29,2781048
3905401001;0,0000000;0,0195921;0,0000000;28,9574525;2,5754528;3,6744817
3905401002;0,0000000;0,0245785;1,2284314;23,5649351;12,2789412;0,0000000
3905401003;0,0000000;0,0205005;0,0000000;17,0270091;8,7802473;4,3354068
3905501001;1,0707677;0,0191190;0,0000000;22,4822782;15,3207835;1,5694144
3905601001;1,9763426;0,0199682;4,3810523;63,4982014;13,5166910;9,5350678
3905601002;0,0000000;0,0178098;2,3851272;18,8545676;3,2793529;4,6975048
3905701001;0,0000000;0,0211483;0,9702190;14,7354774;8,5347611;2,3430768
3905701002;0,0000000;0,0172931;0,0000000;30,8549575;15,2416251;7,6600223
3905801001;0,0000000;0,0153864;0,7582405;24,3486910;5,9326078;5,8142472
3905901001;5,6728204;0,0243191;3,2554284;19,2616767;12,5253043;10,6983779
3905901002;0,0000000;0,0210293;0,0000000;24,1028966;12,6114075;0,0000000
3905901003;0,0000000;0,0251702;0,0000000;29,5360725;6,1742177;2,2837864
3905901004;0,0000000;0,0224883;0,0000000;23,9119670;2,0186987;0,0000000
3905901005;0,0000000;0,0184552;0,0000000;11,8465672;2,5255661;0,0000000
3905902001;0,0000000;0,0240851;0,0000000;11,0379384;6,2709112;0,0000000
3905902002;0,0000000;0,0270805;0,0000000;26,7187369;12,2229504;0,0000000
3905902003;0,0000000;0,0224570;0,0000000;41,9182828;21,3470715;7,3785651
3905902004;0,0000000;0,0197621;0,0000000;69,9660844;17,3504747;3,1329236
3905902005;0,0000000;0,0240778;0,0000000;12,1384526;2,5542759;0,0000000
3906001001;0,0000000;0,0144585;1,7882022;34,0494765;1,2046010;3,5395259
3906001002;2,9302238;0,0223499;1,5315868;14,6174647;13,6548703;6,0765530
3906002001;0,0000000;0,0212825;0,0000000;10,6510398;0,9922523;0,0000000
3906002002;0,0000000;0,0196386;1,4640177;7,5249215;4,2748523;7,6081676
3906002003;0,0000000;0,0247872;0,0000000;0,0000000;6,1834795;2,2706222
3906101001;0,0000000;0,0212630;0,0000000;14,0707733;10,2061336;3,7433908
3906101002;0,0000000;0,0136482;0,0000000;31,5464536;9,5375446;9,8465219
3906101003;0,0000000;0,0182031;0,0000000;11,9066434;2,9430713;5,0277993
3906201001;0,9545103;0,0197575;1,9587814;27,4877665;11,4222906;9,6603053
3906201002;0,0000000;0,0165265;0,0000000;29,1690977;10,9851114;10,2828762
3906301001;0,8863009;0,0178928;1,7292488;42,6607498;13,6337983;26,6655799
3906401001;0,9959941;0,0177299;0,9959941;46,3837545;6,4297094;3,0879828
3906501001;0,0000000;0,0132832;1,4895092;45,1538395;12,9348886;21,0363313
3906601001;0,0000000;0,0184789;0,0000000;47,2471329;7,7354157;12,6738105
3906701001;0,0000000;0,0166076;2,4398449;60,2317873;10,2895715;15,3326224
3906801001;0,0000000;0,0172887;0,0000000;57,6463248;8,7162677;4,2555411
3906901001;0,0000000;0,0188550;1,5646251;23,3283027;4,9433414;7,1081041
3906901002;4,5737720;0,0196632;0,0000000;44,4764656;6,8731233;14,6263588
3907001001;0,0000000;0,0160418;3,0354600;57,9779281;12,7342714;14,4271128
3907101001;6,0686886;0,0259875;7,2127259;74,6715169;9,8996305;11,4263750
3907201001;1,4769060;0,0274197;37,6022977;75,2641297;19,2439469;69,2067291
3907301001;0,0000000;0,0133109;0,0000000;0,0000000;22,6676110;0,0000000
3907301002;0,0000000;0,0178084;0,0000000;12,8690336;3,0731393;14,0677971
3907301003;0,0000000;0,0123848;0,0000000;14,3278670;2,7727978;5,1213627
3907301004;0,0000000;0,0190668;0,0000000;10,9598528;4,9274990;3,1852856
3907301005;0,0000000;0,0254484;1,8535889;1,2770088;18,0569411;0,8408361
3907301006;0,0000000;0,0240635;0,0000000;4,1117999;4,0878723;0,0000000
3907301007;0,0000000;0,0156487;0,0000000;19,5110545;10,8915909;5,4123993
3907401001;0,0000000;0,0173718;0,0000000;32,5470555;3,3141040;10,0507518
3907401002;0,0000000;0,0174060;0,0000000;15,9787427;1,4412714;6,9062570
3907401003;0,0000000;0,0184050;2,8353658;62,0445547;3,9286611;13,0381557
3907401004;0,0000000;0,0281506;3,4414159;2,2332529;10,4608787;2,2132213
3907401005;0,0000000;0,0237349;0,0000000;9,4455920;5,1803536;4,9033907
3907401006;0,0000000;0,0228822;0,0000000;2,2474655;9,6520296;2,2797625
3907501001;0,0000000;0,0203200;3,2245113;61,0576362;17,3253872;9,4780442
3907501002;0,0000000;0,0121148;0,0000000;49,4944522;30,6413651;7,7482310
3907501003;0,0000000;0,0182731;0,0000000;64,3221535;30,1559212;10,6990528
3907501004;0,0000000;0,0168393;0,0000000;95,8559792;30,5134379;4,1419400
3907501005;0,0000000;0,0210264;2,6323482;18,3959486;32,8864838;17,2242026
3907501006;0,0000000;0,0169660;5,6088555;56,5764918;17,0390843;8,9302033
3907501007;0,0000000;0,0180123;2,7835166;48,0348837;24,3578088;7,9478341
3907501008;3,3994181;0,0211425;0,0000000;66,1808668;47,5912744;19,2910628
3907501009;0,0000000;0,0172586;0,0000000;37,0075390;30,8407647;3,7966512
3907501010;0,0000000;0,0211098;0,0000000;50,5527803;27,5952026;3,8192139
3907501011;0,0000000;0,0206285;3,7170352;94,9422330;11,8453258;15,9108215
3907502001;0,0000000;0,0230263;4,7312356;0,0000000;0,0000000;0,0000000
3907502002;0,0000000;0,0274574;0,0000000;42,0830408;28,9365374;7,5124432
3907502003;0,0000000;0,0215849;0,0000000;7,3370620;4,9734333;4,2407962
3907502004;0,0000000;0,0129895;0,0000000;40,4128384;13,3387490;9,7532691
3907502005;0,0000000;0,0221386;0,0000000;10,4476443;15,5768714;7,4009937
3907502006;0,0000000;0,0188776;0,0000000;0,0000000;7,0051780;0,0000000
3907502007;0,0000000;0,0186269;0,0000000;24,1839246;23,4662036;10,3608747
3907502008;0,0000000;0,0228529;0,0000000;34,0060719;22,8335268;11,9300048
3907502009;0,0000000;0,0187629;4,4960402;0,0000000;6,1471095;12,5607635
3907502010;0,0000000;0,0215405;2,6274242;0,0000000;31,1761509;8,6923809
3907502011;0,0000000;0,0221214;0,0000000;0,0000000;10,9818194;0,0000000
3907502012;0,0000000;0,0193169;0,0000000;0,0000000;11,2877868;3,6937930
3907502013;0,0000000;0,0226572;0,0000000;0,0000000;4,9958581;4,0878536
3907502014;0,0000000;0,0246646;0,0000000;0,0000000;6,9946514;0,0000000
3907502015;0,0000000;0,0183515;0,0000000;0,0000000;10,8810229;10,0902424
3907502016;0,0000000;0,0188184;0,0000000;10,2974116;8,5681972;0,0000000
3907502017;0,0000000;0,0187921;0,0000000;0,0000000;3,6894765;0,0000000
3907502018;0,0000000;0,0212801;0,0000000;8,0004814;11,2647978;3,0017625
3907502019;0,0000000;0,0269829;0,0000000;0,0000000;10,7049340;2,7976599
3907502020;0,0000000;0,0236683;0,0000000;0,0000000;10,7297127;16,5500705
3907502021;0,0000000;0,0255050;0,0000000;0,0000000;25,4303845;9,1156924
3907502022;0,0000000;0,0260779;0,0000000;24,4523274;16,2249052;8,0460057
3907502023;0,0000000;0,0234944;0,0000000;0,0000000;6,9479402;7,0685067
3907502024;0,0000000;0,0264810;2,3177047;0,0000000;6,0771217;2,2177254
3907502025;0,0000000;0,0162275;0,0000000;0,0000000;5,1292792;0,0000000
3907502026;0,0000000;0,0186713;0,0000000;0,0000000;13,8325154;7,0958110
3907502027;0,0000000;0,0201300;0,0000000;0,0000000;8,0307313;0,0000000
3907503001;0,0000000;0,0217345;0,0000000;61,5332074;8,1172989;8,0777991
3907503002;0,0000000;0,0269225;0,0000000;38,6645160;23,3047613;6,6913591
3907503003;0,0000000;0,0248787;0,0000000;41,9800192;4,1009699;10,1010899
3907503004;0,0000000;0,0215278;0,0000000;37,2814991;22,5307247;32,7025386
3907503005;7,7651562;0,0229922;6,3244723;93,3404597;45,4082124;26,4475499
3907503006;0,0000000;0,0234681;0,0000000;13,0052675;4,1824113;6,2296766
3907503007;0,0000000;0,0230000;0,0000000;37,6756394;32,7672562;10,5511961
3907503008;0,0000000;0,0236222;0,0000000;21,3071648;15,7851744;9,6835991
